"screen","engine","variant","screenshot","gap","error","ACCESS-008","TOUCH-003","INPUT-010","INPUT-006 / ACCESS-003","ACTION-007 / ACTION-008","LAYOUT-013 / LAYOUT-014","DATA-003/004 · LAYOUT-003","FEEDBACK-011"
"S-18","chromium","390x844-light","screenshots/chromium/390x844-light/S-18.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-18","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-18.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-18","chromium","844x390-light","screenshots/chromium/844x390-light/S-18.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","NA"
"S-18","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-18.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","NA"
"S-18","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-18.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-18","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-18.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-18","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-18.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-18","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-18.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-19","chromium","390x844-light","screenshots/chromium/390x844-light/S-19.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-19","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-19.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-19","chromium","844x390-light","screenshots/chromium/844x390-light/S-19.png","","","PASS","PASS","PASS","PASS","NA","FAIL","NA","NA"
"S-19","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-19.png","","","PASS","PASS","PASS","PASS","NA","FAIL","NA","NA"
"S-19","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-19.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-19","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-19.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-19","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-19.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
